Jurisdicción,CUE Anexo,Nombre,Sector,Ámbito,Domicilio,CP,Código de área,Teléfono,Fecha alta,Cant. Alumnos,Asignación parcial ($),Asignación final ($),Promedio nota alumnos
Ciudad de Buenos Aires,20037100,ESTEBAN DE LUCA,Estatal,Urbano,ADOLFO ALSINA 2499 BALVANERA ,C1090,11,4951-8758,18581,3372,0,0,3
Córdoba,140084300,ELENA LONGHI DE BUSTOS,Estatal,Rural,CALLE PUBLICA   EL PANTANO P/PEDANIA CAMINIAGA,X5244,3522,15648123,30367,2870,0,0,10
Corrientes,180064600,ESCUELA PRIMARIA Nº 532 GENDARMERIA NACIONAL,Estatal,Rural,   ANGUA 4ª SECCIÓN,W3420,3782,15483783,28406,2575,0,0,5
Río Negro,620077500,CENTRO EDUCATIVO DE NIVEL SECUNDARIO NRO.19,Estatal,Urbano,NEUQUEN 262 SANTA CLARA ESC. 263,R8500,,02920 421794,34754,1909,0,0,10
Tucumán,900060200,ESC. SECUNDARIA JOSE MARIANO GOMEZ,Estatal,Urbano,SAN MARTIN Y ALVAREZ CONDARCO  25 DE MAYO SAN MARTIN Y ALVAREZ CONDARCO,T4128,,4811151,24394,4401,0,0,5
Formosa,340067500,EPES Nº 2 BATALLA DE MAIPU,Estatal,Urbano,AV. NESTOR KICHNER  CENTRO AV. NESTOR KICHNER Y SARMIENTO,P3606,370,4461002,20849,2057,0,0,5
Buenos Aires,60034600,ESCUELA DE EDUCACIÓN PRIMARIA Nº6 MANUEL BELGRANO,Estatal,Rural,PONTAUT S/N  ,7406,2286,15-45-3601,22741,1597,0,0,8
Buenos Aires,60174300,ESCUELA DE EDUCACIÓN PRIMARIA Nº3 JOSÉ MANUEL ESTRADA,Estatal,Urbano,ALBERDI (E/ ARROLO Y BISCIOTI) 700  ,7635,2261,44-0063,32289,1737,0,0,3
Mendoza,500085400,0-011 SUYAY,Estatal,Urbano,CATAMARCA 1600  ,M5539,261,4378386,23057,4776,0,0,10
Buenos Aires,60428000,ESCUELA DE EDUCACIÓN PRIMARIA Nº34 MAXIMO LEDESMA,Estatal,Rural,CUARTEL IX S/N  LA BARRANCOSA,7260,2344,406759,30740,2511,0,0,5
Córdoba,140063800,OLEGARIO RODRIGUEZ,Estatal,Rural,CALLE PUBLICA   LAS PALMAS,X5280,3549,15636176,22251,4213,0,0,8
Buenos Aires,60204100,JARDÍN DE INFANTES SAN MAURICIO,Privado,Urbano,LUCIANO TORRENT Y VARSOBIA 1095  ,1759,2202,42-1225,23536,2573,0,0,9
Mendoza,500015802,SUBOFICIAL HUGO ALBERTO LEPEZ,Estatal,Urbano,   MIGUEL CANE,5541,261,4471687,33504,3539,0,0,3
Córdoba,140060300,ESCUELA SAN MARTIN,Estatal,Urbano,DEAN FUNES 624 CENTRO SAMPACHO,X5829,3582,439907,22607,4153,0,0,7
Mendoza,500083300,ALVAREZ CONDARCO,Estatal,Urbano,CALLE PUBLICA S/N  LOTE 94,M5624,,02625-491237 D,30819,4127,0,0,7
Santa Fe,820454800,E.E.S. ORIENTADA NRO 599,Estatal,Urbano,AVENIDA PEÑALOZA  9500  ,S3000,342,4579107,21213,4069,0,0,3
Chaco,220033801,JARDIN DE INFANTES Nº 80 MAGDALENA GUEMES DE TEJADA,Estatal,Rural,   LOTE 14-(FUNCIONA EN EGB Nº 202),H3545,,,25209,2637,0,0,10
Santa Fe,820011900,ESCUELA PART. INC. NRO 1030 SAN FRANCISCO DE ASIS,Privado,Urbano,AVENIDA PUCCIO 527 ALBERDI ,S2000,341,4552148,20831,2490,0,0,6
Chaco,220012900,E.E.P. Nº  152,Estatal,Rural,   LOTE 9-PJE.PPA.LA PORTEÑA,H3718,3731,499757,19932,4106,0,0,6
Córdoba,140060000,JOSE DE SAN MARTIN,Estatal,Rural,RUTA E 86   PUNTA DE AGUA P/ADELIA MARIA,X5839,358,156544749,21161,3069,0,0,10
Santa Fe,820456300,JARDIN DE INFANTES NRO 323 HÉROES DE BELGRANO,Estatal,Urbano,ALMIRANTE BROWN 2782 ESTE ,S3080,3496,420393,19907,2392,0,0,10
Misiones,540033700,ESC. Nº 349: FRANCISCO RAMIREZ,Estatal,Urbano,R. NAC. N°14- KM 922    R. NAC. N°14- KM 922-PDA. TRIUNFO-,N3364,3755,15550405(sms)/691963(llamadas),32953,2151,0,0,5
San Luis,740056300,ESC. N° 292 DIPUTADO ROBERTO PAEZ MONTERO,Estatal,Rural,   LA CAÑADA,D5701,266,4452000,22762,1998,0,0,4
Catamarca,100011500,ESCUELA N° 164,Estatal,Rural,   PIPANACO,K5319,,,23361,2846,0,0,3
Río Negro,620029200,INSTITUTO DE FORMACION DOCENTE CONTINUA,Estatal,Urbano,ISLAS MALVINAS Y ALEMANDRI   ,R8520,2934,430620,33955,4765,0,0,5
Tucumán,900185300,COL. SANTA RITA,Privado,Urbano,AVDA. SANTO CRISTO Y LEOCADIO PAZ   INGENIO SAN JUAN ING. SAN JUAN,T4109,381,4378367,25633,2481,0,0,8
Río Negro,620018500,ESCUELA PRIMARIA NRO.251 25 DE MAYO,Estatal,Urbano,ISLAS MALVINAS ARGENTINAS 465 25 DE MAYO EEBA 26 CENTRO 01  INST.SUP.NO UNIV.,R8532,2934,481083,19057,4083,0,0,8
Santiago del Estero,860082200,ESCUELA N° 957 REMEDIOS ESCALADA DE SAN MARTIN,Estatal,Rural,LA RAMADA   LA RAMADA,G4301,,,19695,1562,0,0,6
Tierra del Fuego,940002902,C.E.N.S. Nº 18 - ANEXO ESC. Nº 10,Estatal,Urbano,ANTARTIDA ARGENTINA 950 LOS LUPINOS ,V9420,2964,425568,31723,1814,0,0,4
Buenos Aires,60388200,JARDÍN DE INFANTES Nº902 MARIQUITA SANCHEZ DE THOMPSON,Estatal,Rural,SARMIENTO (E/ RIVADAVIA Y LIBERTAD) 542  ,6337,2394,49-0117,26521,2480,0,0,10
Jujuy,380087400,J.I.N. 7 ,Estatal,Urbano,AV. LIBERTAD  CENTRO ,4512,3886,430910,24484,1597,0,0,9
Buenos Aires,60499900,ESCUELA DE EDUCACIÓN PRIMARIA Nº27 EVA DUARTE,Estatal,Urbano,BUENOS AIRES 1310  LOS NARANJOS,1864,2225,42-1871,31204,2299,0,0,10
Buenos Aires,60106600,INSTITUTO SAGRADA FAMILIA,Privado,Urbano,PEDRO GOENAGA 775  ,1913,2221,45-2441,25165,2541,0,0,7
Mendoza,500204600,ESCUELA Nº 2-047,Estatal,Urbano,COMANDANTE TORRES 1º PISO 150 CIUDAD HOSPITAL TEODORO SHESTAKOW,M5600,1,02627-423269,23509,3515,0,0,10
Jujuy,380089201,J.I.N. 27 ,Estatal,Urbano,TEODORO SANCHEZ DE BUSTAMANTE   CENTRO ,4518,3886,498043,25119,4530,0,0,7
Santa Fe,820383200,CENTRO DE EDUCACION FISICA NRO 5 PROFESOR OSCAR GIANNONE,Estatal,Urbano,CHACABUCO 1397 MARTIN ,S2000,341,4721369,18334,3745,0,0,4
Santiago del Estero,860042000,ESCUELA N° 371,Estatal,Rural,LA RESERVA   LA RESERVA,G4220,,,28806,2535,0,0,7
Tucumán,900205900,ESCUELA DE NIVEL INICIAL Nº 223 CABO 1º MENDEZ,Estatal,Urbano,SAN MARTIN  565 25 DE MAYO ACCESO NORTE,T4128,381,4816810,27290,4360,0,0,10
Santa Fe,820216700,ESCUELA NRO 411 JUAN BAUTISTA ALBERDI,Estatal,Urbano,AMEGHINO 626 JOSE DHO ,S3070,3408,422009,29328,2690,0,0,7
Mendoza,500173000,JOSE MIGUEL GRANEROS,Estatal,Rural,  LA FLORESTA MOYANO S/N,M5535,,4493153,18524,4733,0,0,6
Mendoza,500280601,Jardin de Infantes Nucleado Nº 0-177 (1-116)),Estatal,Urbano,Salta 1050  ,5501,2614221643,1,19558,2239,0,0,10
Santa Fe,820032200,ESCUELA NRO 1339 INGENIERO ENRIQUE MOSCONI,Estatal,Urbano,JOSE INGENIEROS 1850 FONAVI OESTE ,S2200,3476,435466,23088,2260,0,0,5
Mendoza,500245900,PROFESORA AURORA A. TORRES,Estatal,Rural,   COSTA CANAL MONTECASEROS ,M5579,263,154649545,20650,4916,0,0,6
Buenos Aires,60049400,ESCUELA DE EDUCACIÓN PRIMARIA Nº37 DR. ADOLFO ALSINA,Estatal,Rural,COLONIA EL MATE S/N  ,6400,2392,674581,34551,1569,0,0,4
Mendoza,500234200,LA CASA DEL RATON MIKEY,Social/cooperativa,Urbano,   SAN JUAN,M5565,2622,490054,34366,4465,0,0,9
Misiones,540183510,U.G.L. Nº 01 (Ext. Esc. Nº 367),Estatal,Urbano,   Ruta Prov. Nº23-Pje.Campo Alegre,3366,3741,15406635,25346,4474,0,0,10
Buenos Aires,60518000,ESCUELA DE EDUCACIÓN PRIMARIA Nº21 ALMIRANTE GUILLERMO BROWN,Estatal,Rural,HEROES DE MALVINAS S/N  BATERIAS,8113,2932,43-3543,32777,2353,0,0,6
Misiones,540103400,ESC. ADULTOS Nº 13,Estatal,Urbano,AVDA. LOS PIONEROS 645 VILLA FALK AVDA. LOS PIONEROS 645 Y 9 DE JULIO-( ESC. 284),N3328,3743,415419,28917,1812,0,0,8
Santa Fe,820377900,ESCUELA PART. INC. NRO 1425 NUESTRA SEÑORA DE LA PAZ,Privado,Urbano,AVENIDA ARGENTINA 520 PUEBLO NUEVO ,S2124,341,4921347,20621,1549,0,0,7
Córdoba,140086100,INST. SUP. DE FORM. DOCENTE SAN JOSE,Privado,Urbano,RIVADAVIA 245 CENTRO LABOULAYE,X6120,3385,427300,18378,4709,0,0,8
San Luis,740067500,ESCUELA PUBLICA DIGITAL N° 10 POTRERILLOS,Estatal,Rural,   ,,,,29528,2724,0,0,7
Buenos Aires,60199402,ANEXO Nº1 DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº1,Estatal,Rural,RUTA PROVINCIAL 62 KM. 21 S/N  ,7119,2268,49-0209,25839,4939,0,0,4
Santa Fe,820284500,JARDIN DE INFANTES NRO 168 ANTONIO BERNI,Estatal,Urbano,AVENIDA DOCTOR VICENTE PACIELLO 1161  ,S2148,3401,498260,23317,3210,0,0,8
Ciudad de Buenos Aires,20009800,INSTITUTO EDUCACIONAL DUAYEN,Privado,Urbano,BALLIVIAN 2230 VILLA ORTUZAR 2236 ,C1431,11,4521-6023,26773,3770,0,0,7
Santa Fe,820459500,E.E.M.P.A NRO 1334,Estatal,Rural,ESTANISLAO LOPEZ S/N  ,S3551,3482,490341,31560,1841,0,0,5
Tucumán,900020500,ESC. N° 178 - RICARDO BENJAMIN ROMERO,Estatal,Rural,   LOS GRAMAJOS,T4159,0,3865 - 623421,21261,3243,0,0,8
Buenos Aires,60098100,ESCUELA RAMON LISTA,Privado,Urbano,IBERA 5382  ,1759,2202,42-4328,22446,4377,0,0,7
Río Negro,620049706,CENTRO DE EDUCACION BASICA PARA ADULTOS NRO. 7,Estatal,Urbano,VINTER 850 PADRE A.STEFENELLI CEM 107,R8332,-,-,33780,4230,0,0,8
Buenos Aires,60332000,ESCUELA DE EDUCACIÓN SECUNDARIA AGRARIA Nº1 EZEQUIEL MARTINEZ ESTRADA,Estatal,Rural,AVDA. EL PAREDON 1515  ,8175,2923,49-1209,23399,2063,0,0,10
Entre Ríos,300100700,DR. BERNARDO HOUSSAY 16,Estatal,Rural,RUTA PPROV.20   DISTRITO FRANCISCO RAMIREZ-PARAJE ARROYO LAS TUNAS,E3180,,,31312,3467,0,0,7
Salta,660012200,SAN LEONARDO MURIALDO EX N° 1034,Estatal,Urbano,EX-COMBATIENTES DE MALVINAS 166 JUAN D.PERON ,A4190,3876,482089,19947,3772,0,0,7
Mendoza,500117000,CERRO ACONCAGUA,Estatal,Urbano,LAGUNA DE GUANACACHE 1570 OBRAS SANITARIAS ,M5501,1,4395116,29463,2595,0,0,10
Ciudad de Buenos Aires,20016600,CAPITAN JUAN DE SAN MARTIN Y GOMEZ,Estatal,Urbano,NOGOYA 2557 VILLA DEL PARQUE ,C1417,11,4501-1166,22205,2495,0,0,7
Santa Fe,820186600,ESCUELA NRO 9 JUAN JOSE PASO,Estatal,Urbano,SAN MARTIN 3459 RECOLETA ,S3000,342,4572975*2975,19905,4826,0,0,5
Jujuy,380090401,J.I.N. 28 ,Estatal,Urbano,SAN MARTIN 1272 CENTRO ,4600,388,4228530,24197,3674,0,0,3
Buenos Aires,60481100,ESCUELA DE EDUCACIÓN SECUNDARIA Nº1 CESÁREO NAREDO,Estatal,Rural,26 DE JULIO E/ ETCHEVERRY Y HERNANDEZ S/N  ,6439,2929,49-3055,31645,2484,0,0,9
Santiago del Estero,860080700,ESCUELA N° 929,Estatal,Rural,TUSCA POZO   TUSCA POZO,G4353,,,34122,1915,0,0,7
San Luis,740047500,ESC. N° 31 MARIANO MORENO,Estatal,Urbano,LAVALLE 339 CENTRO ,D5730,,02657-421975,33284,4909,0,0,4
Buenos Aires,60190100,ESCUELA DE EDUCACIÓN PRIMARIA Nº5 DOMINGO FAUSTINO SARMIENTO,Estatal,Urbano,AMENEDO Y DE MARIA 1281  ,1846,11,4294-2183,28063,3427,0,0,4
Neuquén,580064400,ESCUELA PRIMARIA  51 ALBERGUE,Estatal,Rural,SIN NOMBRE   A 800 mts de Ruta Provincial 23,8373,2972,490630/4495200 INT 1177/02972-490630,21508,3976,0,0,8
Buenos Aires,60497200,JARDÍN DE INFANTES Nº907 MERCEDES DE SAN MARTIN,Estatal,Urbano,LAS HERAS ESQ. CHICLANA 41  ,8118,291,491-8037,31629,3596,0,0,9
Formosa,340057300,EPEP Nº414,Estatal,Rural,   LOTE 1,P3636,,,34982,2252,0,0,3
Jujuy,380098701,INSTITUTO DE EDUCACION PRIMARIA 17 DE SETIEMBRE - CEDEMS,Social/cooperativa,Urbano,AV. FASCIO 934 CENTRO ,4600,388,4244433,20538,3930,0,0,6
Chubut,260036400,Ingeniero Emilio Frey,Estatal,Rural,   ,U9203,2945,479702,24123,2786,0,0,5
Santiago del Estero,860158300,BIG BEN SCHOOL,Privado,Urbano,TUCUMAN 367 CENTRO ,G4200,385,4214723,30507,3018,0,0,6
Tucumán,900047300,ESC. MAESTRO MARIO ENRIQUE CASELLA,Estatal,Rural,MADRID S/N  GAMBARTE MADRID S/N - INGENIO SANTA BARBARA,T4157,,,28867,1677,0,0,7
Santiago del Estero,860110800,ESCUELA TECNICA N° 6 COMANDANTE MANUEL BESARES,Estatal,Urbano,Av. Bolivia  198 Banfield Entre calles Ramón Chávez y Dorrego,G4300,385,4272246,25952,1611,0,0,7
Mendoza,500047600,FUNDACION NAZARET,Privado,Urbano,LIBERTAD 575  ,M5600,,0260-4023916,20577,2874,0,0,10
Misiones,540145700,ESC. ADULTOS Nº 45,Estatal,Rural,Av. Sarmiento  Centro Frente a la Municipalidad,3351,376,154510769,26975,2699,0,0,5
Santiago del Estero,860162300,ESCUELA PARA ADULTOS Nº3 ANTARTIDA ARGENTINA,Estatal,Urbano,Calle 3  Ampliacion 1º de Mayo LA BANDA,G4300,,,24003,4371,0,0,7
Buenos Aires,60337600,COLEGIO SAN JOSE,Privado,Urbano,ALEM E/ TEDIN Y PRIMERA JUNTA 588  ,6000,2362,42-4580,31061,2271,0,0,8
La Rioja,460026700,ESC.N°197 CABO PRINC.JULIO CESAR FUENTES,Estatal,Rural,LA CAÑADA   ,F5380,,,34826,3072,0,0,3
San Luis,740017900,ESC. N° 196 MAESTRA MARIA MITCHELL DE RAMIREZ,Estatal,Rural,   EL CALDEN,D5713,,,18517,2306,0,0,6
Corrientes,180028700,ESCUELA Nº 202 JOSE LUIS NAVAJAS,Estatal,Urbano,JULIO A.ROCA Y MANUEL OCAMPO   ,W3342,1,1,22764,4886,0,0,7
San Juan,700103601,JINZ N°4 JUAN IGNACIO GORRITI,Estatal,Rural,RUTA 20 KM 910   ,,,,21905,3459,0,0,7
Buenos Aires,60036700,ESCUELA DE EDUCACIÓN PRIMARIA Nº33 NICOLAS MARINO,Estatal,Urbano,12 E/ 5 Y 7 380  ,8148,2928,42-1168,19394,4139,0,0,6
Misiones,540142300,NENI Nº 02 (Sede ESC. Nº 03),Estatal,Urbano,SANTA FE 434 CENTRO SANTA FE Y BUENOS AIRES,N3300,376,154223334/4616130,23961,2069,0,0,3
Río Negro,620012900,ESCUELA PRIMARIA NRO.337 “VALLE NUEVO”,Estatal,Urbano,DE LOS NIÑOS S/N USINA CTRO.02 EEBA 11,R8430,294,4493274,18811,3346,0,0,9
Formosa,340056800,EPEP Nº419,Estatal,Rural,   CAMPO DEL HACHA,P3636,,,21289,2013,0,0,4
Buenos Aires,60126400,ESCUELA DE EDUCACIÓN PRIMARIA Nº12 MARIANO RONDEAU,Estatal,Rural, S/N  LA PALMA,6667,2345,513522,33645,2104,0,0,3
San Luis,740062600,CENTRO DE EDUCACION ESPECIAL MIRLO,Privado,Urbano,LAS ARTES S/N CENTRO ,D5701,,476908,29543,3707,0,0,10
Santiago del Estero,860167600,CENTRO DE EDUCACION BASICA DE ADULTOS N° 071,Estatal,Urbano,2ª PASAJE  LA VIOLETAS LA VIOLETAS,G4230,,,19900,3632,0,0,4
Mendoza,500254000,PROGRAMA BUENA COSECHA EL CEPILLO,Social/cooperativa,Rural,   el cepillo,,2622,405789,18403,2081,0,0,9
Santa Fe,820318000,E.E.S. ORIENTADA PART. INC. NRO 8043 PEDRO J. CRISTIA,Privado,Urbano,CAYETANO SILVA 1390 LISANDRO DE LA TORRE ,S2000,341,4300871/6960,27943,1756,0,0,8
Jujuy,380004202,INSTITUTO DE EDUCACION SUPERIOR N 7 POPULORUM PROGRESSIO,Privado,Urbano,MARIANO MORENO 1368 HERMINIO ARRIETA ,4512,3886,424494,31412,3167,0,0,4
Santa Fe,820190405,C.E.P.A. NRO 198,Estatal,Urbano,LAS HERAS 705 SAN MIGUEL ,S2152,341,4710797,34538,4013,0,0,7
Santa Cruz,780011900,JARDIN DE INFANTES Nº 10 GRAL. MARTIN MIGUEL DE GÜEMES,Estatal,Urbano,CAMPAÑA DEL DESIERTO 1438  ,Z9405,2902,491438,33415,4797,0,0,6
Tucumán,900197900,INSTITUTO JUAN PABLO II,Privado,Urbano,Saenz Peña 576  SUR ,T4000,0,4205711,29784,2358,0,0,4
Buenos Aires,60446200,INSTITUTO SAN AGUSTIN,Privado,Urbano,AV.MEEKS 761  ,1834,11,4245-2965,34875,4408,0,0,8
La Rioja,460089800,JARDIN DE INFANTES N°82,Estatal,Urbano,   ,,380,15437144,33233,1509,0,0,7
Entre Ríos,300087900,ESCUELA SECUNDARIA 5  SABA Z HERNANDEZ,Estatal,Rural,RIVADAVIA 767  ,E3156,3435,491061,28948,1557,0,0,10
Santa Fe,820181201,N.R.E.S. ORIENTADA NRO 1033,Estatal,Urbano,   CAMPO LA AMISTAD,S2521,3471,462744,21815,2633,0,0,8
Córdoba,140021300,ESCUELA ESPECIAL DRA. CAROLINA ANA MOSCA,Estatal,Urbano,BRASIL  GUEMES B° GUEMES,X5000,351,4333446,22217,2703,0,0,3
San Juan,700046600,WALT DISNEY,Estatal,Rural,RUTA PROV 155 S/N   ,J5425,264,4307614,20397,4895,0,0,3
Entre Ríos,300125600,JUAN JOSE MILLAN 109,Estatal,Urbano,9 DE JULIO 2112  ,E3260,,03442-440740,25368,3666,0,0,8
Santa Fe,820393203,CENTRO DE ALFABETIZACION NRO 128,Estatal,Urbano,ESPORA 488 LA PALOMA CENTRO DE ALFABETIZACION Nº128,S2124,341,4924111,32745,4142,0,0,9
Catamarca,100005100,COLEGIO DEL CARMEN Y SAN JOSE,Privado,Urbano,JUNIN 719  ,K4700,383,4423727,31703,1614,0,0,4
Buenos Aires,60287800,ESCUELA DE EDUCACIÓN PRIMARIA Nº26 MAGDALENA GÜEMES DE TEJADA,Estatal,Urbano,207 E/516 Y 516 BIS S/N  ,1903,221,491-6636,34444,2457,0,0,4
La Rioja,460046900,COLEGIO PROVINCIAL DE PUNTA DE LOS LLANOS,Estatal,Rural,PUBLICA 12  ,F5384,,03826-429638,24702,3447,0,0,6
Catamarca,100068907,JIN N°9 - ANEXO 07 EN ESCUELA PRIMARIA Nº12,Estatal,Rural,   CALLE PRINCIPAL,K5341,0,0,21508,4747,0,0,8
Ciudad de Buenos Aires,20047800,ESC. TEC. Nº 32 GRAL JOSE DE SAN MARTIN DE 14,Estatal,Urbano,TEODORO GARCIA 3899 CHACARITA ,C1427,11,4551-9121,29424,1760,0,0,9
Neuquén,580040900,INSTITUTO DE FORMACIÓN DOCENTE  7,Estatal,Urbano,ROCA JULIO ARGENTINO  669  AL LADO DEL CONCEJO DELIBERANTE,8347,2942,499352,29929,2499,0,0,5
Misiones,540132300,ESC. Nº 834,Estatal,Urbano,PICADA BRASIL-LOTE 39-SECC 5   LIMITE ENTRE CAMPO GRANDE Y A. DEL VALLE,N3362,3755,15569153/304050/499567,28965,2110,0,0,9
Tucumán,900070900,ESC. ESPECIAL INMACULADA CONCEPCION,Estatal,Urbano,JOSE HAIMES 2700 RIERA ,T4146,,426753,29538,3741,0,0,9
Buenos Aires,60069000,ESCUELA DE EDUCACIÓN PRIMARIA Nº37 NARCISO DEL VALLE,Estatal,Rural,CUARTEL XIII RUTA 30 KM 8 S/N  TOME Y TRAIGA,7635,2262,473261,18600,3766,0,0,3
Santa Fe,820083500,JARDIN DE INFANTES NRO 46 DOCTOR ALBERT SCHWEITZER,Estatal,Urbano,MATIENZO 1298 AZCUENAGA ,S2000,341,4727570,19857,3593,0,0,6
Mendoza,500151100,ESTRELLITA LUMINOSA,Social/cooperativa,Urbano,  LIHUE MARIANO MORENO MANZANA 32-LOTE 2 Y3,M5521,261,4-458686,26738,1862,0,0,4
San Juan,700016800,ESCUELA DOCTOR ALFREDO CALCAGNO,Estatal,Rural,PASO DE LOS ANDES S/N   ,J5463,264,4302051,19552,4847,0,0,10
Buenos Aires,60437201,CENTRO DE ADULTOS Nº718/04,Estatal,Urbano,presidente peron   ,1846,,,34692,3741,0,0,4
Santiago del Estero,860197300,ESCUELA DEL NIVEL SECUNDARIO DE VILLA FIGUEROA Sede de Agrupamientos 86117 y 86118,Estatal,Rural,Ruta Nº 2 San Francisco Solano    Figueroa,G4353,,,19288,4666,0,0,10
Santiago del Estero,860223607,Agrupamiento 86146 Esc. N° 961,Estatal,Rural,   ,,,,34569,2996,0,0,8
Tucumán,900003400,ESC. N° 50 - SANTA CECILIA,Estatal,Rural,Av. Cesareo Segura S/N   LOS ZAZOS,T4137,0,03892 427017,23541,4898,0,0,4
Buenos Aires,60148800,INSTITUTO MODELO SAN MARTÍN DE LOS ANDES,Privado,Urbano,AVELLANEDA Y CABRERA 3654  ,1752,11,4482-0026,22962,4891,0,0,9
Córdoba,140082200,ESCUELA PROVINCIA DE CORRIENTES,Estatal,Urbano,DOMINGO ZIPOLI 1358 ESCOBAR ,X5009,351,4347840,34267,4403,0,0,4
Ciudad de Buenos Aires,20027800,JIN C DE 21 (ESC. PRIM. Nº 14 DE 21),Estatal,Urbano,CAÑADA DE GOMEZ 4548 VILLA LUGANO ,C1439,11,4602-1264,34446,4989,0,0,3
Mendoza,500056700,VIRGEN DEL CARMEN DE CUYO,Privado,Urbano,SARMIENTO 240  CIUDAD DE MAIPU,M5515,261,4-972514,19985,4698,0,0,7
Ciudad de Buenos Aires,20054900,CENS Nº 49 DE 05,Estatal,Urbano,BRANDSEN 2570 BARRACAS ,C1287,11,4301-9057,20335,2798,0,0,7
Santa Fe,820216201,C.E.R. NRO 258 JOSE HERNANDEZ,Estatal,Rural,   COLONIA ALCORTA - 10 km al suroeste San Cristobal,S3071,3408,422092,19842,3260,0,0,9
Corrientes,180076500,ESCUELA Nº 728 BERNARDINO VALLE,Estatal,Rural,RUTA PROV. Nº 39   ESTANCIA SAN JUAN BAUTISTA,W3302,3786,402747,18991,2642,0,0,4
Santa Cruz,780016300,ESCUELA PRIMARIA PROVINCIAL Nº 13 ROBERTO JORGE PAYRO,Estatal,Urbano,MARTIN MARTINEZ 118 GOBERNADOR GREGORES ,Z9011,297,4857949,20560,2166,0,0,8
Buenos Aires,60561800,ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº3 JAPÓN,Estatal,Urbano,MONSEÑOR BLOIS 1625  ,1663,11,4664-9321,27809,3001,0,0,10
Formosa,340041800,EPEP Nº103 BARTOLOME MITRE,Estatal,Rural,   EL COATI,P3606,1,1,18291,2968,0,0,6
Santa Fe,820269200,ESCUELA NRO 6058 GENERAL GUILLERMO PINTO,Estatal,Rural,PRESIDENTE ROCA 384  ,S2104,3460,498206,18526,3680,0,0,4
Santa Fe,820210400,ESCUELA NRO 342 TOMAS GODOY CRUZ,Estatal,Urbano,   ZONA RURAL SUR,S3023,342,154363405,20527,4255,0,0,10
Santiago del Estero,860135600,COLEGIO SAN GABRIEL,Privado,Urbano,BELGRANO S 1259 RAMON CARRILLO AV.BELGRANO 1259 (5),G4200,,422-5633,18519,2517,0,0,3
Córdoba,140012800,DR. DALMACIO VELEZ SARSFIELD,Estatal,Rural,CALLE PUBLICA   AMBOY,X5199,03546-,15439857,31879,3881,0,0,5
Jujuy,380007700,ESCUELA N 236 PROVINCIA DE SANTA FE,Estatal,Urbano,AV. BELGRANO 456 CENTRO ,Y4610,388,4911578,31095,1688,0,0,4
Catamarca,100016800,ESCUELA N° 159,Estatal,Rural,   MINAS DE CULAMPAJA,K4751,,,29046,1769,0,0,7
La Rioja,460085900,Esc.N°415,Estatal,Urbano,publica s/n  Anexo Angel Vicente Peñaloza ,0,,,28828,4609,0,0,4
Mendoza,500073400,1-601 DR. DIEGO PAROISSIEN,Estatal,Urbano,METRAUX S/N SANIDAD ,M5500,261,4-445145,33174,3661,0,0,10
Chaco,220043107,E.P.A Nº  29 MARIANO MORENO,Estatal,Urbano,PADRE HRYNIEWICKI S/N  AIPO FUNCIONA EN CTRO.INTEGRADOR COMUNIT-Bº AIPO,H3540,0,0,34480,2741,0,0,9
Misiones,540175500,INST. KOLPING ESPERANZA,Privado,Rural,HAITÍ S/N   SAN FRANCISCO 9 DE JULIO Y HAITÍ S/N,3378,3757,481214/480910,31313,4105,0,0,8
Mendoza,500251200,ESCUELA Nº 4-256,Estatal,Rural,   CARRIL ZAPATA S/N - RUTA PROV. Nº 86,5561,,,33545,3557,0,0,9
Santa Fe,820393020,CENTRO DE ALFABETIZACION NRO 104,Estatal,Urbano,DANIERI 3120  ,S2000,341,4620580,32196,3593,0,0,6
Buenos Aires,60381600,ESCUELA DE EDUCACIÓN PRIMARIA Nº6 NUESTRA SEÑORA DE LAS MERCEDES,Estatal,Urbano,304 E/364 Y 365 1438  ,1886,11,4258-4273,18359,4458,0,0,8
La Pampa,420007700,Colegio Secundario Lucio Victorio Mansilla,Estatal,Urbano,Mansilla   340  ,L6387,2335,450043,21390,1606,0,0,5
Ciudad de Buenos Aires,20132100,GRAL. MANUEL SAVIO,Estatal,Urbano,SAN PEDRITO 1137 FLORES ,C1406,11,4612-6188/4611-2702,22652,3194,0,0,4
Jujuy,380064300,ESCUELA DE GESTION PRIVADA NUEVA ESPERANZA,Privado,Urbano,VILLAFAÑE 554 ALBERDI ,Y4600,388,4256457,20789,4027,0,0,7
Santa Fe,820450304,GRADO RADIAL IV - ESCUELA NOCTURNA NRO 102,Estatal,Rural,ZONA RURAL   COLONIA MASCIAS,S3001,3405,15407876,27956,4192,0,0,6
Santiago del Estero,860003301,AGRUPAMIENTO Nº 86160 ESC Nº 437,Estatal,Rural,   Avellaneda,G4332,,,27411,4918,0,0,6
Tucumán,900039100,ESC. DR. IGNACIO COLOMBRES,Estatal,Urbano,BALLESTEROS  LA REDUCCION TEMPLO NUESTRA SEÑORA DEL VALLE,T4129,,381-4913557,30703,3704,0,0,9
